代,笰刚┮(铭畃)    
代絏,芠代丁,程蔼放(),程放(),キА癸访( %),キА硉(m/s),程皚硉(m/s),仓璸獴秖(mm),仓縩ら甮秖(MJ/m2)
G2F820,1999-01-01,24.0,11.9,86,1.5,7.8,0.0,11.02
G2F820,1999-01-02,24.7,11.9,87,1.7,11.0,0.0,11.19
G2F820,1999-01-03,21.2,13.3,88,1.3,9.0,0.0,7.44
G2F820,1999-01-04,23.3,12.6,84,1.2,7.7,0.0,9.95
G2F820,1999-01-05,24.1,10.2,86,1.5,8.8,0.0,11.60
G2F820,1999-01-06,24.9,10.8,87,1.1,8.2,0.0,11.40
G2F820,1999-01-07,20.4,10.4,82,3.0,11.0,0.0,8.20
G2F820,1999-01-08,17.9,9.8,79,2.2,7.5,0.0,5.10
G2F820,1999-01-09,19.9,9.5,83,1.3,7.8,0.0,6.90
G2F820,1999-01-10,21.1,10.5,86,1.7,10.1,0.0,11.30
G2F820,1999-01-11,22.3,10.0,87,1.5,8.9,0.0,10.60
G2F820,1999-01-12,19.5,12.2,93,2.5,11.8,1.0,5.00
G2F820,1999-01-13,22.1,14.1,91,1.1,6.1,0.0,7.40
G2F820,1999-01-14,22.9,14.4,93,2.0,9.5,0.0,7.40
G2F820,1999-01-15,15.8,11.0,86,3.9,10.6,1.0,5.50
G2F820,1999-01-16,17.2,10.5,87,0.5,5.2,0.5,3.70
G2F820,1999-01-17,18.8,13.7,97,0.3,5.5,0.5,3.70
G2F820,1999-01-18,20.9,15.1,97,1.1,7.3,0.0,5.90
G2F820,1999-01-19,28.5,16.5,85,1.5,9.7,0.5,11.10
G2F820,1999-01-20,22.1,16.2,84,2.0,10.9,0.0,7.20
G2F820,1999-01-21,24.0,15.2,85,0.9,5.4,0.0,9.30
G2F820,1999-01-22,24.3,15.2,92,1.0,6.5,0.0,6.60
G2F820,1999-01-23,26.0,14.5,91,1.0,8.2,0.0,7.70
G2F820,1999-01-24,25.6,18.7,94,1.1,5.7,0.5,7.60
G2F820,1999-01-25,25.4,15.8,92,1.4,8.3,0.5,10.10
G2F820,1999-01-26,26.4,15.5,87,0.9,7.0,0.0,10.90
G2F820,1999-01-27,26.6,14.5,82,1.2,9.9,0.0,11.00
G2F820,1999-01-28,24.3,13.4,87,1.7,8.5,0.0,10.70
G2F820,1999-01-29,24.8,15.4,80,1.7,7.5,0.0,10.20
G2F820,1999-01-30,25.9,14.6,82,1.1,7.0,0.0,10.50
G2F820,1999-01-31,26.1,16.7,84,1.5,8.8,0.0,11.40
G2F820,1999-02-01,29.5,17.2,81,1.7,8.7,0.0,8.20
G2F820,1999-02-02,20.8,10.8,79,4.2,11.5,0.0,10.60
G2F820,1999-02-03,18.0,7.1,60,3.5,13.5,0.0,12.30
G2F820,1999-02-04,18.1,5.8,68,2.2,10.4,0.0,11.60
G2F820,1999-02-05,21.5,5.3,76,1.5,9.8,0.0,12.60
G2F820,1999-02-06,23.5,7.4,80,1.3,9.1,0.0,12.60
G2F820,1999-02-07,24.2,9.5,83,1.0,7.0,0.0,11.60
G2F820,1999-02-08,24.9,10.9,87,1.0,8.2,0.0,11.50
G2F820,1999-02-09,26.2,10.5,84,1.1,8.1,0.0,12.80
G2F820,1999-02-10,28.8,12.8,75,1.8,8.9,0.0,12.90
G2F820,1999-02-11,27.3,14.7,74,2.5,12.0,0.0,11.90
G2F820,1999-02-12,20.7,13.0,71,2.1,7.9,0.0,5.50
G2F820,1999-02-13,20.8,13.1,67,1.2,7.2,0.0,6.60
G2F820,1999-02-14,24.5,11.6,80,1.1,6.7,0.0,10.00
G2F820,1999-02-15,24.9,14.2,85,1.5,7.0,0.0,10.90
G2F820,1999-02-16,24.9,15.1,88,1.8,9.0,0.0,11.20
G2F820,1999-02-17,26.7,13.1,86,0.8,8.0,0.0,12.50
G2F820,1999-02-18,30.1,14.9,83,2.7,14.2,0.0,13.70
G2F820,1999-02-19,20.5,10.7,72,4.3,10.1,0.0,9.00
G2F820,1999-02-20,12.9,10.7,94,1.3,5.8,2.5,1.20
G2F820,1999-02-21,20.4,12.1,86,1.1,7.8,0.0,8.30
G2F820,1999-02-22,22.9,13.3,86,1.4,7.7,0.0,10.90
G2F820,1999-02-23,27.8,12.1,87,1.2,7.8,0.0,13.90
G2F820,1999-02-24,29.0,16.8,84,1.6,7.9,0.0,12.99
G2F820,1999-02-25,29.1,19.1,86,1.3,8.9,0.0,11.45
G2F820,1999-02-26,29.7,19.6,83,1.1,7.1,0.0,12.43
G2F820,1999-02-27,24.6,14.9,84,3.3,12.6,0.0,12.20
G2F820,1999-02-28,24.0,14.5,76,1.7,8.2,0.0,11.20
G2F820,1999-03-01,25.4,15.0,86,1.1,7.9,0.0,12.40
G2F820,1999-03-02,28.3,17.3,83,1.8,9.4,0.0,13.10
G2F820,1999-03-03,28.0,16.7,84,1.7,8.1,0.0,13.80
G2F820,1999-03-04,29.2,17.3,77,1.4,7.2,0.0,14.20
G2F820,1999-03-05,30.8,18.5,75,1.3,7.5,0.0,13.40
G2F820,1999-03-06,30.5,18.9,85,1.6,7.2,0.0,13.70
G2F820,1999-03-07,28.1,16.9,87,2.6,11.4,0.0,12.04
G2F820,1999-03-08,25.9,15.4,82,1.0,8.0,0.0,8.40
G2F820,1999-03-09,27.8,17.4,89,1.6,10.2,0.0,8.60
G2F820,1999-03-10,27.7,18.8,88,2.5,9.9,0.0,10.40
G2F820,1999-03-11,22.1,15.9,87,2.1,8.6,3.0,2.80
G2F820,1999-03-12,19.4,16.8,95,1.2,7.8,2.0,2.40
G2F820,1999-03-13,20.3,17.5,96,0.7,7.8,9.5,2.60
G2F820,1999-03-14,26.3,18.8,95,1.4,7.5,5.5,5.10
G2F820,1999-03-15,24.1,16.5,92,2.1,10.5,4.5,3.70
G2F820,1999-03-16,20.8,16.1,85,0.6,4.7,4.0,3.80
G2F820,1999-03-17,26.7,16.9,88,1.9,10.2,23.5,8.40
G2F820,1999-03-18,33.1,19.9,81,1.5,13.0,0.0,9.50
G2F820,1999-03-19,32.5,22.1,78,2.3,9.9,4.5,11.99
G2F820,1999-03-20,28.1,18.8,88,1.9,7.7,0.0,10.60
G2F820,1999-03-21,22.4,16.7,93,1.8,6.7,3.5,4.20
G2F820,1999-03-22,17.0,13.7,93,1.7,8.0,12.0,2.00
G2F820,1999-03-23,24.8,14.6,90,1.4,6.9,0.0,9.90
G2F820,1999-03-24,28.8,18.3,90,1.4,8.1,0.0,12.30
G2F820,1999-03-25,31.4,19.6,84,1.0,6.7,0.0,14.10
G2F820,1999-03-26,31.2,21.8,82,2.5,7.8,0.0,14.30
G2F820,1999-03-27,30.3,18.8,82,2.9,9.5,0.0,14.40
G2F820,1999-03-28,28.0,18.7,84,2.6,9.4,0.0,12.30
G2F820,1999-03-29,24.7,16.8,85,4.0,14.8,0.0,13.50
G2F820,1999-03-30,25.1,16.5,81,3.3,11.8,0.0,15.60
G2F820,1999-03-31,27.7,15.9,84,1.4,9.8,0.0,16.00
G2F820,1999-04-01,30.2,16.9,88,1.3,8.5,0.0,16.40
G2F820,1999-04-02,31.2,19.5,83,3.1,12.8,0.0,14.50
G2F820,1999-04-03,26.9,17.8,77,2.4,9.5,0.0,12.20
G2F820,1999-04-04,26.2,17.3,84,2.2,9.4,0.0,12.60
G2F820,1999-04-05,24.9,17.3,82,1.5,9.4,0.0,10.91
G2F820,1999-04-06,28.3,17.5,73,0.6,4.7,0.0,12.20
G2F820,1999-04-07,29.0,18.6,77,1.6,8.5,0.0,15.50
G2F820,1999-04-08,29.4,18.9,77,1.3,8.8,0.0,14.60
G2F820,1999-04-09,27.8,18.9,82,1.0,6.1,0.0,10.00
G2F820,1999-04-10,28.8,21.0,83,1.3,9.3,0.0,7.10
G2F820,1999-04-11,30.3,19.7,85,1.3,9.9,0.0,10.70
G2F820,1999-04-12,26.7,18.8,97,1.4,10.9,34.5,4.30
G2F820,1999-04-13,30.0,20.7,83,1.7,10.1,0.0,14.00
G2F820,1999-04-14,28.7,19.7,83,1.3,8.0,0.0,13.80
G2F820,1999-04-15,29.5,21.4,90,1.7,6.9,0.0,14.30
G2F820,1999-04-16,30.7,21.0,84,1.2,7.0,0.0,14.30
G2F820,1999-04-17,29.9,22.7,90,3.1,9.9,0.0,8.30
G2F820,1999-04-18,29.9,23.0,83,2.4,9.0,0.0,6.20
G2F820,1999-04-19,29.8,21.7,91,1.8,7.9,0.0,8.10
G2F820,1999-04-20,30.3,22.3,92,1.6,8.2,0.0,12.10
G2F820,1999-04-21,29.7,21.6,95,1.4,8.0,0.0,9.90
G2F820,1999-04-22,31.1,21.9,90,1.6,8.7,0.0,14.70
G2F820,1999-04-23,31.3,22.1,84,1.5,9.3,0.0,15.30
G2F820,1999-04-24,30.5,21.9,90,1.7,9.7,0.0,14.40
G2F820,1999-04-25,31.3,21.9,84,2.3,10.1,0.0,15.00
G2F820,1999-04-26,30.4,22.3,90,2.3,8.3,0.0,13.20
G2F820,1999-04-27,29.9,22.0,83,1.2,6.7,0.0,12.10
G2F820,1999-04-28,27.9,19.5,78,1.8,8.0,0.0,9.10
G2F820,1999-04-29,28.4,19.0,79,1.7,8.1,0.0,12.80
G2F820,1999-04-30,24.8,19.4,98,0.2,3.2,4.0,5.50
G2F820,1999-05-01,26.0,21.2,98,1.3,7.2,3.0,4.70
G2F820,1999-05-02,26.9,21.9,99,0.8,6.5,6.5,4.99
G2F820,1999-05-03,29.6,22.4,96,1.3,7.0,6.5,11.10
G2F820,1999-05-04,30.1,21.3,94,2.4,9.4,0.0,13.80
G2F820,1999-05-05,23.2,17.6,96,1.1,6.7,21.0,3.40
G2F820,1999-05-06,25.5,17.8,97,0.7,7.4,5.5,5.80
G2F820,1999-05-07,22.1,15.5,100,0.4,3.8,31.0,3.85
G2F820,1999-05-08,30.5,18.0,91,1.6,7.4,1.5,16.20
G2F820,1999-05-09,23.2,19.1,100,0.4,7.5,23.5,3.30
G2F820,1999-05-10,26.3,19.1,93,1.2,7.7,5.0,8.80
G2F820,1999-05-11,30.0,17.9,86,1.9,8.7,0.0,18.90
G2F820,1999-05-12,30.1,19.1,86,1.7,7.4,0.0,15.50
G2F820,1999-05-13,30.9,20.2,82,1.6,7.5,0.0,16.10
G2F820,1999-05-14,30.7,18.3,86,1.4,7.1,0.0,15.20
G2F820,1999-05-15,27.9,21.5,89,1.0,4.3,0.0,8.80
G2F820,1999-05-16,30.6,20.4,89,1.6,6.3,0.0,13.30
G2F820,1999-05-17,32.4,22.4,82,3.7,10.4,0.0,13.60
G2F820,1999-05-18,32.5,23.3,84,3.7,11.4,0.0,13.40
G2F820,1999-05-19,29.7,21.4,95,2.1,10.7,11.0,9.70
G2F820,1999-05-20,29.8,21.4,93,1.1,7.0,0.0,11.40
G2F820,1999-05-21,29.8,21.9,90,1.0,6.6,0.0,12.80
G2F820,1999-05-22,32.7,22.0,87,1.5,6.9,0.0,16.90
G2F820,1999-05-23,33.1,23.3,91,3.0,11.8,0.0,16.00
G2F820,1999-05-24,31.4,23.7,91,3.3,8.3,0.0,13.70
G2F820,1999-05-25,31.4,24.2,93,2.8,7.7,0.5,11.05
G2F820,1999-05-26,32.6,23.7,89,4.1,12.4,1.5,11.47
G2F820,1999-05-27,26.4,20.3,100,2.5,9.8,113.5,2.80
G2F820,1999-05-28,23.0,19.5,100,1.0,6.6,61.5,4.20
G2F820,1999-05-29,30.6,19.8,88,1.4,8.1,0.0,19.30
G2F820,1999-05-30,26.7,21.8,100,2.0,9.9,7.5,5.80
G2F820,1999-05-31,29.9,21.6,95,0.3,5.1,0.5,8.10
G2F820,1999-06-01,31.3,23.6,95,0.9,6.3,0.0,12.00
G2F820,1999-06-02,32.8,24.9,94,1.2,6.3,0.0,14.80
G2F820,1999-06-03,33.2,25.4,95,1.8,8.7,0.0,14.90
G2F820,1999-06-04,32.3,23.7,95,1.3,6.4,0.0,9.17
G2F820,1999-06-05,33.3,22.5,91,0.9,5.8,0.0,16.05
G2F820,1999-06-06,30.1,25.6,97,1.8,12.1,2.5,3.52
G2F820,1999-06-07,32.1,24.8,98,1.3,8.3,5.5,8.71
G2F820,1999-06-08,32.3,24.3,95,1.9,16.5,2.5,11.30
G2F820,1999-06-09,32.9,23.3,93,1.8,9.6,0.0,5.50
G2F820,1999-06-10,32.8,24.4,89,2.7,16.5,0.0,17.61
G2F820,1999-06-11,32.5,23.9,84,3.0,9.3,0.0,18.10
G2F820,1999-06-12,32.6,23.8,82,3.6,9.8,0.0,17.89
G2F820,1999-06-13,30.9,24.9,92,1.4,6.6,0.5,5.90
G2F820,1999-06-14,31.9,23.6,87,1.7,6.4,0.0,13.30
G2F820,1999-06-15,32.3,24.7,87,2.9,9.1,0.0,17.20
G2F820,1999-06-16,31.6,23.9,86,2.7,7.2,0.0,11.30
G2F820,1999-06-17,30.9,23.2,90,2.6,12.4,5.0,8.50
G2F820,1999-06-18,32.3,22.6,89,2.5,10.4,2.5,14.40
G2F820,1999-06-19,32.3,23.7,94,1.9,10.3,39.5,11.60
G2F820,1999-06-20,31.5,23.3,93,1.5,13.0,49.0,12.30
G2F820,1999-06-21,31.3,22.7,90,2.0,13.8,20.5,12.70
G2F820,1999-06-22,28.6,23.3,95,2.6,12.6,10.5,7.50
G2F820,1999-06-23,33.3,22.9,80,3.4,12.9,0.0,19.20
G2F820,1999-06-24,33.3,23.0,76,3.4,10.2,0.0,19.10
G2F820,1999-06-25,32.7,24.2,83,3.4,9.6,0.0,16.70
G2F820,1999-06-26,33.2,23.6,82,3.2,8.7,0.0,17.20
G2F820,1999-06-27,33.2,23.8,81,3.1,8.8,0.0,15.10
G2F820,1999-06-28,33.4,23.6,82,3.8,12.1,0.0,15.20
G2F820,1999-06-29,34.3,23.0,84,2.9,11.9,0.5,15.90
G2F820,1999-06-30,34.0,22.6,86,2.9,14.8,0.5,17.50
G2F820,1999-07-01,33.6,22.5,85,3.7,11.4,5.0,16.81
G2F820,1999-07-02,34.0,24.0,84,3.3,9.6,0.0,15.57
G2F820,1999-07-03,33.0,24.2,92,1.6,11.3,5.5,9.44
G2F820,1999-07-04,32.0,24.0,92,2.4,14.0,43.0,11.34
G2F820,1999-07-05,30.5,24.1,93,2.6,8.7,9.5,9.36
G2F820,1999-07-06,33.2,23.8,79,3.2,9.3,0.5,13.37
G2F820,1999-07-07,31.2,25.8,80,3.7,9.9,0.0,10.33
G2F820,1999-07-08,27.0,23.7,96,3.5,12.4,39.0,2.85
G2F820,1999-07-09,30.1,23.4,88,3.5,11.4,1.0,5.31
G2F820,1999-07-10,31.1,23.3,91,2.6,8.7,37.0,8.07
G2F820,1999-07-11,28.0,23.4,97,2.3,8.0,33.0,5.47
G2F820,1999-07-12,29.9,24.6,92,2.7,7.7,11.0,5.18
G2F820,1999-07-13,33.4,23.8,85,2.0,7.4,0.0,19.33
G2F820,1999-07-14,33.1,24.4,86,1.9,12.3,0.0,15.52
G2F820,1999-07-15,31.5,23.9,91,1.8,9.9,0.0,9.36
G2F820,1999-07-16,31.1,24.7,92,1.8,8.8,24.0,8.32
G2F820,1999-07-17,30.5,25.3,88,3.2,9.6,1.0,11.09
G2F820,1999-07-18,33.5,25.0,83,3.2,9.1,0.5,13.19
G2F820,1999-07-19,31.2,24.6,93,2.9,8.5,16.5,9.07
G2F820,1999-07-20,33.2,24.8,93,2.5,9.9,13.5,13.28
G2F820,1999-07-21,34.3,24.0,91,1.2,10.9,28.0,14.85
G2F820,1999-07-22,32.5,25.1,90,0.9,5.4,0.0,12.56
G2F820,1999-07-23,34.7,26.5,89,1.6,9.3,0.0,14.23
