測站,農試所(霧峰)    
測站代碼,觀測時間,最高氣溫(℃),最低氣溫(℃),平均相對溼度( %),平均風速(m/s),累計雨量(mm),累積日射量(MJ/m2)
G2F820,2014-01-01,25.3,9.7,79,0.9,0.0,14.59
G2F820,2014-01-02,26.8,11.7,75,1.2,0.0,14.70
G2F820,2014-01-03,26.7,16.9,82,1.7,2.5,11.46
G2F820,2014-01-04,22.7,11.8,79,1.7,0.0,8.54
G2F820,2014-01-05,23.3,10.0,77,1.1,0.0,13.65
G2F820,2014-01-06,22.9,10.9,82,1.2,0.0,6.98
G2F820,2014-01-07,25.7,12.0,81,1.1,0.0,13.47
G2F820,2014-01-08,25.7,12.9,79,2.3,0.0,11.59
G2F820,2014-01-09,19.4,13.5,74,3.7,0.0,10.48
G2F820,2014-01-10,22.2,12.4,77,1.7,0.0,13.49
G2F820,2014-01-11,24.0,10.4,86,1.6,0.0,14.56
G2F820,2014-01-12,22.7,13.9,80,3.2,0.0,15.13
G2F820,2014-01-13,21.0,13.7,77,4.0,0.0,15.06
G2F820,2014-01-14,18.2,9.9,83,3.5,0.0,8.83
G2F820,2014-01-15,21.7,8.1,73,1.6,0.0,16.07
G2F820,2014-01-16,23.2,9.1,74,1.3,0.0,14.73
G2F820,2014-01-17,23.3,9.6,75,1.9,0.0,16.02
G2F820,2014-01-18,20.6,7.9,71,3.2,0.0,15.85
G2F820,2014-01-19,22.1,6.6,71,1.4,0.0,13.53
G2F820,2014-01-20,22.0,9.5,78,1.8,0.0,15.22
G2F820,2014-01-21,18.5,8.3,72,3.3,0.0,10.69
G2F820,2014-01-22,18.8,6.4,68,2.4,0.0,15.87
G2F820,2014-01-23,21.4,5.5,69,1.3,0.0,16.33
G2F820,2014-01-24,22.4,6.7,64,1.2,0.0,16.79
G2F820,2014-01-25,25.6,7.3,64,1.9,0.0,17.35
G2F820,2014-01-26,22.5,9.4,73,2.1,0.0,10.38
G2F820,2014-01-27,23.5,12.2,75,1.7,0.0,14.84
G2F820,2014-01-28,24.8,10.4,80,1.3,0.0,15.50
G2F820,2014-01-29,24.5,10.7,80,1.4,0.0,15.47
G2F820,2014-01-30,26.4,10.8,71,1.3,0.0,16.25
G2F820,2014-01-31,26.0,10.8,78,1.1,0.0,15.89
G2F820,2014-02-01,27.1,11.2,72,1.5,0.0,16.61
G2F820,2014-02-02,28.7,15.3,70,1.3,0.0,10.98
G2F820,2014-02-03,29.8,18.5,78,1.8,0.0,15.92
G2F820,2014-02-04,24.6,15.5,79,2.1,3.0,11.46
G2F820,2014-02-05,24.2,15.3,90,1.6,3.5,10.53
G2F820,2014-02-06,24.9,17.1,87,1.2,0.0,7.11
G2F820,2014-02-07,23.6,17.5,89,1.7,0.0,5.20
G2F820,2014-02-08,21.0,15.1,85,2.3,0.0,8.18
G2F820,2014-02-09,16.4,12.4,93,2.4,8.5,2.25
G2F820,2014-02-10,13.2,9.3,85,4.1,1.5,2.93
G2F820,2014-02-11,11.4,9.0,81,3.0,0.5,4.20
G2F820,2014-02-12,19.7,10.2,80,2.0,0.0,12.43
G2F820,2014-02-13,18.8,12.9,89,2.7,2.0,6.88
G2F820,2014-02-14,17.0,11.9,84,3.6,1.0,8.82
G2F820,2014-02-15,17.5,12.5,80,1.3,0.5,5.03
G2F820,2014-02-16,23.1,13.4,84,1.6,0.5,14.61
G2F820,2014-02-17,27.8,13.3,79,1.5,0.0,18.52
G2F820,2014-02-18,26.6,15.6,83,2.4,0.0,12.22
G2F820,2014-02-19,16.0,10.8,87,4.1,8.0,1.26
G2F820,2014-02-20,18.4,7.4,73,3.6,0.0,18.53
G2F820,2014-02-21,20.9,6.2,76,1.4,0.0,18.36
G2F820,2014-02-22,22.1,9.9,77,1.6,0.0,18.93
G2F820,2014-02-23,23.0,10.4,81,2.0,0.0,19.96
G2F820,2014-02-24,22.4,12.9,84,1.5,0.0,18.74
G2F820,2014-02-25,26.2,11.5,78,1.7,0.0,19.62
G2F820,2014-02-26,27.8,15.6,74,1.8,0.0,15.90
G2F820,2014-02-27,27.3,14.6,79,1.7,0.0,19.03
G2F820,2014-02-28,28.4,17.2,81,1.8,0.0,16.99
G2F820,2014-03-01,27.6,17.3,78,1.6,0.0,13.17
G2F820,2014-03-02,21.9,16.1,81,3.0,0.0,9.63
G2F820,2014-03-03,20.8,14.8,80,2.4,0.0,7.56
G2F820,2014-03-04,25.4,15.9,82,2.0,0.5,10.38
G2F820,2014-03-05,23.9,14.9,80,2.8,3.0,18.75
G2F820,2014-03-06,18.9,14.7,81,2.3,0.0,3.75
G2F820,2014-03-07,21.9,14.2,83,2.2,0.0,9.05
G2F820,2014-03-08,19.1,13.5,90,2.2,4.0,3.05
G2F820,2014-03-09,18.4,13.7,81,3.2,0.0,9.57
G2F820,2014-03-10,21.1,13.5,82,1.4,0.0,5.35
G2F820,2014-03-11,21.0,16.0,87,1.5,0.0,7.30
G2F820,2014-03-12,25.0,15.7,89,1.8,12.0,7.12
G2F820,2014-03-13,21.3,16.0,87,2.4,5.0,6.75
G2F820,2014-03-14,21.6,14.0,65,2.4,0.0,18.30
G2F820,2014-03-15,24.0,13.6,73,1.6,0.0,12.97
G2F820,2014-03-16,23.2,16.2,77,1.3,0.0,9.28
G2F820,2014-03-17,27.2,14.6,78,1.1,0.0,14.99
G2F820,2014-03-18,27.9,16.7,82,1.4,0.0,14.92
G2F820,2014-03-19,30.7,20.5,80,1.4,0.0,17.02
G2F820,2014-03-20,27.6,14.3,79,3.5,0.5,16.30
G2F820,2014-03-21,18.4,13.0,72,2.6,2.0,4.46
G2F820,2014-03-22,22.1,14.1,75,1.6,0.0,11.42
G2F820,2014-03-23,24.7,16.3,77,1.6,0.0,16.13
G2F820,2014-03-24,25.2,15.3,81,1.4,0.0,15.35
G2F820,2014-03-25,28.6,16.0,75,1.5,0.0,17.34
G2F820,2014-03-26,29.9,18.0,77,1.9,0.0,21.46
G2F820,2014-03-27,30.7,20.9,80,1.7,0.0,16.25
G2F820,2014-03-28,31.0,20.2,82,1.9,1.0,19.83
G2F820,2014-03-29,32.2,23.0,80,3.1,0.0,17.97
G2F820,2014-03-30,30.3,22.3,78,1.6,0.0,15.16
G2F820,2014-03-31,28.2,18.7,88,2.6,16.5,8.50
G2F820,2014-04-01,24.7,19.0,86,2.2,0.0,7.54
G2F820,2014-04-02,24.0,18.0,89,1.8,7.0,7.08
G2F820,2014-04-03,24.6,18.8,87,2.0,2.5,7.23
G2F820,2014-04-04,24.9,17.6,76,1.5,0.0,10.66
G2F820,2014-04-05,27.5,16.5,77,1.8,0.0,20.82
G2F820,2014-04-06,27.8,16.9,77,1.2,0.0,16.07
G2F820,2014-04-07,23.6,19.7,86,2.0,0.0,4.86
G2F820,2014-04-08,28.9,19.0,83,1.7,0.5,18.53
G2F820,2014-04-09,29.9,20.6,81,2.2,0.0,21.83
G2F820,2014-04-10,31.6,19.1,76,2.1,0.0,23.80
G2F820,2014-04-11,29.4,19.6,79,1.7,0.0,22.44
G2F820,2014-04-12,31.2,19.9,73,1.5,0.0,22.38
G2F820,2014-04-13,31.0,22.9,75,2.4,0.0,22.65
G2F820,2014-04-14,29.5,19.2,72,3.1,0.0,19.00
G2F820,2014-04-15,28.4,17.8,76,1.6,0.0,16.65
G2F820,2014-04-16,31.0,20.9,72,1.6,0.0,21.83
G2F820,2014-04-17,31.1,21.7,75,1.8,0.0,20.20
G2F820,2014-04-18,29.4,22.3,84,1.2,0.0,10.20
G2F820,2014-04-19,30.6,22.5,85,1.3,0.0,12.74
G2F820,2014-04-20,29.9,22.3,79,2.2,0.0,16.22
G2F820,2014-04-21,30.8,22.3,78,1.7,0.0,15.19
G2F820,2014-04-22,30.9,21.1,78,2.4,0.0,16.18
G2F820,2014-04-23,28.5,20.4,75,1.9,0.0,11.96
G2F820,2014-04-24,30.7,21.4,81,1.9,0.0,13.94
G2F820,2014-04-25,31.1,22.6,82,1.9,0.0,12.84
G2F820,2014-04-26,27.1,22.1,91,1.4,0.5,4.93
G2F820,2014-04-27,31.5,21.8,82,1.9,0.0,21.29
G2F820,2014-04-28,30.2,21.1,78,1.6,0.0,16.87
G2F820,2014-04-29,30.0,20.3,74,1.5,0.0,14.29
G2F820,2014-04-30,26.5,19.0,80,2.0,2.0,5.21
G2F820,2014-05-01,23.9,18.8,96,1.3,12.5,4.86
G2F820,2014-05-02,30.5,20.8,85,1.5,0.0,16.83
G2F820,2014-05-03,31.1,22.7,82,1.3,0.5,13.65
G2F820,2014-05-04,29.0,22.1,84,1.5,1.5,13.96
G2F820,2014-05-05,26.8,18.1,84,3.2,33.5,11.80
G2F820,2014-05-06,20.9,16.3,94,1.2,14.0,4.33
G2F820,2014-05-07,24.8,19.1,96,1.0,12.5,5.08
G2F820,2014-05-08,29.6,20.7,86,1.9,0.5,17.76
G2F820,2014-05-09,26.1,22.6,95,1.1,2.0,5.28
G2F820,2014-05-10,29.8,21.4,84,1.1,0.5,11.27
G2F820,2014-05-11,31.8,22.9,74,2.5,0.0,12.84
G2F820,2014-05-12,33.3,23.2,82,2.7,2.5,16.15
G2F820,2014-05-13,30.3,23.5,89,2.4,16.5,8.74
G2F820,2014-05-14,32.3,23.6,76,3.8,0.0,17.62
G2F820,2014-05-15,29.6,23.7,86,3.0,104.5,3.81
G2F820,2014-05-16,30.8,23.8,91,2.0,17.5,12.99
G2F820,2014-05-17,33.5,22.6,80,2.2,0.0,22.82
G2F820,2014-05-18,30.3,23.5,88,2.8,33.5,7.20
G2F820,2014-05-19,28.9,23.5,93,2.4,104.0,3.54
G2F820,2014-05-20,27.7,23.6,92,2.8,41.5,3.32
G2F820,2014-05-21,29.0,23.3,95,1.7,22.0,5.41
G2F820,2014-05-22,31.2,23.1,84,1.9,0.0,8.48
G2F820,2014-05-23,29.5,23.2,92,1.6,7.0,8.32
G2F820,2014-05-24,32.2,23.1,82,1.3,0.0,13.18
G2F820,2014-05-25,32.4,24.0,82,2.0,0.0,17.14
G2F820,2014-05-26,33.2,24.1,81,2.7,0.5,21.24
G2F820,2014-05-27,31.6,25.7,90,1.8,9.0,8.03
G2F820,2014-05-28,32.7,24.4,88,1.9,4.5,12.84
G2F820,2014-05-29,30.6,24.4,93,1.8,40.0,9.35
G2F820,2014-05-30,31.5,24.3,87,1.5,0.0,12.78
G2F820,2014-05-31,32.6,24.6,83,1.7,0.0,21.48
G2F820,2014-06-01,33.1,25.1,82,1.7,0.0,20.35
G2F820,2014-06-02,33.6,25.3,77,3.2,0.0,21.18
G2F820,2014-06-03,28.5,24.0,92,2.3,22.5,2.27
G2F820,2014-06-04,32.5,23.8,86,1.6,0.0,21.33
G2F820,2014-06-05,32.2,24.8,85,2.6,4.5,14.82
G2F820,2014-06-06,32.3,23.1,89,2.0,54.5,10.57
G2F820,2014-06-07,32.3,24.1,89,1.7,5.0,13.54
G2F820,2014-06-08,31.5,24.4,92,1.1,10.5,12.05
G2F820,2014-06-09,32.9,24.3,85,2.2,0.0,24.59
G2F820,2014-06-10,32.4,25.2,85,2.7,0.0,18.33
G2F820,2014-06-11,32.0,24.8,82,2.6,0.0,19.06
G2F820,2014-06-12,33.9,23.9,78,1.6,0.0,23.07
G2F820,2014-06-13,33.7,23.9,85,2.2,6.5,15.37
G2F820,2014-06-14,29.6,24.1,95,1.1,2.0,7.67
G2F820,2014-06-15,31.4,25.3,93,1.4,19.5,10.47
G2F820,2014-06-16,34.1,24.3,80,2.7,0.0,22.64
G2F820,2014-06-17,33.5,26.5,79,3.5,0.0,17.86
G2F820,2014-06-18,34.0,25.9,79,2.9,0.0,19.56
G2F820,2014-06-19,33.9,25.8,80,2.7,0.0,20.33
G2F820,2014-06-20,33.6,26.3,81,2.5,0.0,15.17
G2F820,2014-06-21,35.3,24.8,78,2.6,0.0,19.10
G2F820,2014-06-22,36.0,25.6,73,3.3,0.0,22.02
G2F820,2014-06-23,34.9,25.6,77,2.3,0.0,16.90
G2F820,2014-06-24,34.0,25.5,82,2.8,21.5,16.03
G2F820,2014-06-25,34.5,25.6,81,2.8,0.0,17.33
G2F820,2014-06-26,33.4,25.4,85,2.6,36.0,14.06
G2F820,2014-06-27,33.5,25.4,81,2.2,0.0,20.12
G2F820,2014-06-28,34.4,25.8,78,1.8,0.0,16.63
G2F820,2014-06-29,34.4,26.1,87,1.7,49.5,12.96
G2F820,2014-06-30,34.0,25.1,87,2.1,6.0,16.40
G2F820,2014-07-01,35.1,25.6,81,2.4,0.0,22.01
G2F820,2014-07-02,35.5,26.2,76,2.7,0.0,23.33
G2F820,2014-07-03,34.8,26.6,75,2.3,0.0,22.34
G2F820,2014-07-04,35.1,26.7,77,1.7,0.0,18.12
G2F820,2014-07-05,34.7,25.6,75,2.2,0.0,16.47
G2F820,2014-07-06,35.2,26.2,74,2.2,0.0,18.96
G2F820,2014-07-07,35.5,26.0,77,1.8,0.0,21.76
G2F820,2014-07-08,32.6,26.4,79,3.4,0.0,12.25
G2F820,2014-07-09,36.0,26.7,73,3.2,0.0,19.71
G2F820,2014-07-10,35.4,27.5,76,2.4,0.0,17.64
G2F820,2014-07-11,34.7,26.8,80,2.4,0.0,14.88
G2F820,2014-07-12,36.1,26.5,75,3.0,0.0,22.01
G2F820,2014-07-13,35.6,27.0,72,2.7,0.0,24.32
G2F820,2014-07-14,35.1,27.6,74,2.6,0.0,23.90
G2F820,2014-07-15,34.9,26.9,75,2.0,0.0,22.69
G2F820,2014-07-16,34.9,26.1,76,2.2,0.0,18.11
G2F820,2014-07-17,36.3,25.7,74,1.7,0.0,21.92
G2F820,2014-07-18,35.1,25.4,82,2.2,1.5,16.29
G2F820,2014-07-19,33.8,25.3,84,2.0,0.5,14.26
G2F820,2014-07-20,35.2,26.0,85,2.0,8.0,17.16
G2F820,2014-07-21,34.1,26.4,78,2.1,0.0,21.71
G2F820,2014-07-22,34.1,26.0,82,1.3,1.5,11.85
G2F820,2014-07-23,29.6,24.0,91,6.6,96.5,2.35
G2F820,2014-07-24,32.9,26.3,72,4.2,0.0,16.17
G2F820,2014-07-25,32.9,25.5,82,2.8,1.5,22.98
G2F820,2014-07-26,34.1,25.0,80,2.2,0.0,21.50
G2F820,2014-07-27,33.7,26.6,78,3.1,0.0,19.99
G2F820,2014-07-28,33.5,25.4,83,2.0,6.5,22.37
G2F820,2014-07-29,33.7,24.9,84,1.8,2.0,16.23
G2F820,2014-07-30,33.8,27.4,79,2.5,0.0,16.47
G2F820,2014-07-31,34.2,25.7,81,2.5,19.5,22.11
G2F820,2014-08-01,35.6,26.3,78,3.1,5.5,17.55
G2F820,2014-08-02,33.6,26.2,79,3.5,2.0,19.32
G2F820,2014-08-03,35.2,25.7,78,2.7,39.5,24.92
G2F820,2014-08-04,34.3,25.1,92,1.8,84.5,18.36
G2F820,2014-08-05,32.6,26.2,85,2.3,0.5,19.50
G2F820,2014-08-06,33.7,26.3,80,1.6,0.0,18.10
G2F820,2014-08-07,33.4,26.2,83,2.0,0.0,17.21
G2F820,2014-08-08,34.9,26.8,80,2.4,0.5,23.79
G2F820,2014-08-09,34.1,27.1,80,3.0,0.0,18.10
G2F820,2014-08-10,32.5,25.5,86,3.4,0.0,9.48
G2F820,2014-08-11,32.7,25.0,84,2.8,6.5,15.79
G2F820,2014-08-12,32.0,25.4,88,2.8,4.5,13.90
G2F820,2014-08-13,30.6,25.4,86,3.4,1.0,8.14
G2F820,2014-08-14,32.6,26.1,77,3.4,0.5,13.19
G2F820,2014-08-15,33.8,26.3,80,2.6,0.0,23.33
G2F820,2014-08-16,34.3,26.8,80,2.1,0.0,22.29
G2F820,2014-08-17,33.2,25.7,81,1.9,0.0,15.96
G2F820,2014-08-18,30.9,24.5,87,0.9,1.0,2.91
G2F820,2014-08-19,31.3,24.3,80,2.6,0.0,11.70
G2F820,2014-08-20,,,,,,
G2F820,2014-08-21,,,,,,
G2F820,2014-08-22,,,,,,
G2F820,2014-08-23,,,,,,
G2F820,2014-08-24,,,,,,
G2F820,2014-08-25,,,,,,
G2F820,2014-08-26,,,,,,
G2F820,2014-08-27,34.6,24.2,80,2.1,0.0,21.57
G2F820,2014-08-28,33.8,23.1,78,1.9,0.0,20.87
G2F820,2014-08-29,33.7,25.3,84,1.6,5.0,18.12
G2F820,2014-08-30,34.3,24.5,82,1.9,5.0,19.63
G2F820,2014-08-31,33.6,23.3,77,1.8,0.0,21.42
G2F820,2014-09-01,33.9,24.9,80,2.1,0.0,23.15
G2F820,2014-09-02,34.6,25.2,79,1.5,0.0,21.47
G2F820,2014-09-03,34.1,25.7,79,1.8,0.0,21.72
G2F820,2014-09-04,33.8,25.9,79,2.5,0.0,21.93
G2F820,2014-09-05,35.1,25.4,76,2.1,0.0,21.08
G2F820,2014-09-06,35.0,26.3,75,2.3,0.0,19.84
G2F820,2014-09-07,34.1,27.1,77,2.2,0.0,20.53
G2F820,2014-09-08,34.1,25.4,77,2.0,0.0,20.91
G2F820,2014-09-09,34.1,25.0,78,1.8,0.5,20.81
G2F820,2014-09-10,33.7,25.7,77,1.8,0.0,20.54
G2F820,2014-09-11,33.4,25.8,80,2.0,0.0,18.21
G2F820,2014-09-12,32.2,27.1,81,2.1,0.0,11.10
G2F820,2014-09-13,32.7,24.9,79,1.8,0.0,12.70
G2F820,2014-09-14,35.9,25.2,79,1.6,0.0,20.07
G2F820,2014-09-15,36.7,26.6,73,2.4,0.0,22.26
G2F820,2014-09-16,35.0,26.8,75,2.2,0.0,15.96
G2F820,2014-09-17,34.1,26.2,81,1.7,0.0,18.65
G2F820,2014-09-18,34.0,26.7,82,1.5,0.0,18.67
G2F820,2014-09-19,34.3,26.8,80,1.6,0.0,15.87
G2F820,2014-09-20,34.2,25.4,83,2.2,0.0,13.59
G2F820,2014-09-21,30.0,25.2,90,3.1,0.0,3.68
G2F820,2014-09-22,31.6,23.6,90,2.0,2.0,16.28
G2F820,2014-09-23,33.0,24.8,87,1.5,0.0,15.10
G2F820,2014-09-24,33.9,24.3,85,1.8,0.0,19.50
G2F820,2014-09-25,33.1,24.5,82,1.8,0.0,22.79
G2F820,2014-09-26,33.2,25.8,81,1.9,0.0,19.28
G2F820,2014-09-27,33.7,24.8,81,1.7,0.0,19.59
G2F820,2014-09-28,34.1,25.4,78,2.0,0.0,19.27
G2F820,2014-09-29,33.0,25.2,81,1.5,0.0,15.53
G2F820,2014-09-30,33.0,24.8,81,1.5,0.0,18.31
G2F820,2014-10-01,33.0,24.8,79,1.9,0.0,17.27
G2F820,2014-10-02,32.9,23.7,81,1.9,0.0,19.80
G2F820,2014-10-03,33.0,22.5,71,2.3,0.0,18.82
G2F820,2014-10-04,31.0,21.6,66,3.0,0.0,18.34
G2F820,2014-10-05,31.4,20.5,69,2.5,0.0,19.49
G2F820,2014-10-06,32.0,20.0,69,2.1,0.0,20.61
G2F820,2014-10-07,31.1,19.3,71,1.8,0.0,19.77
G2F820,2014-10-08,31.8,19.9,72,1.9,0.0,19.40
G2F820,2014-10-09,32.7,19.4,75,1.7,0.0,20.82
G2F820,2014-10-10,31.7,21.5,78,3.0,0.0,19.60
G2F820,2014-10-11,28.5,23.2,77,5.0,0.0,19.06
G2F820,2014-10-12,29.8,21.0,72,3.4,0.0,19.57
G2F820,2014-10-13,31.3,19.1,73,1.8,0.0,20.01
G2F820,2014-10-14,29.7,18.4,72,1.8,0.0,19.20
G2F820,2014-10-15,29.2,17.7,72,1.5,0.5,17.56
G2F820,2014-10-16,29.3,17.9,71,1.6,0.0,17.82
G2F820,2014-10-17,30.0,18.3,75,1.4,0.0,17.84
G2F820,2014-10-18,31.2,19.4,78,1.4,0.0,18.36
