測站,農試所(霧峰)    ,,,,,,
測站代碼,觀測時間,最高氣溫(℃),最低氣溫(℃),平均相對溼度( %),平均風速(m/s),累計雨量(mm),累積日射量(MJ/m2)
G2F820,2017/1/1,26.9,14.5,87,0.8,0,14.62
G2F820,2017/1/2,26.6,16.9,86,1.2,0,13.41
G2F820,2017/1/3,26.5,16.2,90,0.4,0,9.09
G2F820,2017/1/4,,,,,,
G2F820,2017/1/5,26.9,17.3,82,1.4,0,9.37
G2F820,2017/1/6,26.9,15.7,89,1.5,0,12.51
G2F820,2017/1/7,28.6,18.4,86,1.5,0,11.34
G2F820,2017/1/8,29,17.4,81,1.5,0,14.78
G2F820,2017/1/9,27,14.5,80,1.6,0,14.6
G2F820,2017/1/10,26.8,13.5,78,1.2,0,14.38
G2F820,2017/1/11,27.7,13.4,80,1.3,0,14.68
G2F820,2017/1/12,25.4,16.8,85,1.9,0,9.43
G2F820,2017/1/13,21.7,15.8,83,2.3,0,4.61
G2F820,2017/1/14,19.4,13.3,89,2.1,4.5,4.81
G2F820,2017/1/15,19.6,14.1,83,1.5,0,4.34
G2F820,2017/1/16,21.8,13.7,83,1.2,0,7.65
G2F820,2017/1/17,25.5,13.1,85,1.9,0,14.49
G2F820,2017/1/18,26.1,15.7,86,1.7,0,14.97
G2F820,2017/1/19,28.3,16.5,83,1.8,0,15.77
G2F820,2017/1/20,22.4,13.3,76,3.1,0,15.88
G2F820,2017/1/21,23.7,11.2,70,2.1,0,12.33
G2F820,2017/1/22,23.5,10.7,70,1.9,0,16.04
G2F820,2017/1/23,24.5,11.8,68,1.5,0,14.73
G2F820,2017/1/24,22.9,14.1,72,0.9,0,9.05
G2F820,2017/1/25,,,,,,
G2F820,2017/1/26,22.8,11.3,84,0.7,0,5.94
G2F820,2017/1/27,,,,,,
G2F820,2017/1/28,,,,,,
G2F820,2017/1/29,,,,,,
G2F820,2017/1/30,,,,,,
G2F820,2017/1/31,,,,,,
G2F820,2017/2/1,,,,,,
G2F820,2017/2/2,23.1,14,74,2.3,0,1.97
G2F820,2017/2/3,25.8,15.3,77,1.7,0,15.09
G2F820,2017/2/4,24.6,17,84,1.1,0,8.76
G2F820,2017/2/5,25.2,16,83,1.8,0,7.82
G2F820,2017/2/6,27.8,14.4,76,1.7,0,17.31
G2F820,2017/2/7,25.3,14.7,73,1.2,0,12.79
G2F820,2017/2/8,24.6,15,78,1.6,0,11.42
G2F820,2017/2/9,17.3,11.9,71,4.9,0,6.32
G2F820,2017/2/10,18.1,9.8,58,2.5,0,7.34
G2F820,2017/2/11,18.5,10.7,60,2,0,5.3
G2F820,2017/2/12,22,9.9,65,,0,11.91
G2F820,2017/2/13,25.2,10.7,71,,0,17.98
G2F820,2017/2/14,24.3,10.8,82,,0,8.89
G2F820,2017/2/15,,,,,,
G2F820,2017/2/16,,,,,,
G2F820,2017/2/17,,,,,,
G2F820,2017/2/18,,,,,,
G2F820,2017/2/19,,,,,,
G2F820,2017/2/20,30.4,16.8,75,1.7,0.5,16.39
G2F820,2017/2/21,29.3,17.9,77,2.1,0,18.71
G2F820,2017/2/22,25.1,17.9,90,1.8,1,5.54
G2F820,2017/2/23,,,,,,
G2F820,2017/2/24,16.1,12.1,85,2.8,1,1.76
G2F820,2017/2/25,16.6,12.6,92,2.2,1.5,2.73
G2F820,2017/2/26,18.7,12.6,85,3.1,4.5,10.72
G2F820,2017/2/27,19.8,13,78,1.3,0,5.33
G2F820,2017/2/28,24.6,13.8,76,2.1,0,16.14
G2F820,2017/3/1,24.1,15,73,2,0,18.63
G2F820,2017/3/2,24.4,12.5,67,2.2,0,18.49
G2F820,2017/3/3,23.8,11.3,71,1.5,0,13.42
G2F820,2017/3/4,26.9,15.7,70,1.7,0,15.85
G2F820,2017/3/5,29.3,15.7,72,2,0,17.23
G2F820,2017/3/6,23.2,16.1,81,3.5,11,16
G2F820,2017/3/7,19.5,14.1,80,2,0.5,3.97
G2F820,2017/3/8,16.4,13.9,93,1.3,9.5,2.33
G2F820,2017/3/9,23.1,14.7,87,1.1,0.5,8.42
G2F820,2017/3/10,27.6,17.8,87,2,0,10.25
G2F820,2017/3/11,28.2,18,83,2.2,0,13.56
